Year Mo Dy     tave     tmax     mxtm     tmin     mntm       vp    rhmax   rhmxtm    rhmin   rhmntm       sr     wrun       pp    st5mx  st5mxtm    st5mn  st5mntm   st15mx st15mxtm   st15mn st15mntm    volts     year     gust   gusttm   gusdir etr_asce
2019  3 22    8.284   13.601    13:50    2.968    05:30    0.735    0.934    17:50    0.410    14:20    8.208   80.158    3.556      ***      ***      ***      ***    8.340    19:00    5.641    10:00      *** 2019.000    8.114    15:50      ***    1.850
2019  3 23    5.628    9.646    16:40    1.610    23:50    0.657    0.894    23:40    0.548    16:00    2.835   86.954    0.000      ***      ***      ***      ***    7.600    00:00    6.312    11:00      *** 2019.000    6.625    20:40      ***    0.896
2019  3 24    5.952   14.167    14:40   -2.263    05:00    0.581    0.976    06:40    0.272    14:50    9.934   50.166    0.000      ***      ***      ***      ***    7.820    19:00    4.433    10:00      *** 2019.000    8.879    14:00      ***    1.839
2019  3 25    9.615   15.818    16:30    3.412    05:00    0.633    0.929    05:20    0.131    14:50   15.990   78.644    0.000      ***      ***      ***      ***   10.590    19:00    6.304    09:00      *** 2019.000   11.505    12:20      ***    2.859
2019  3 26    9.510   19.516    16:50   -0.497    05:40    0.501    0.677    02:20    0.169    16:50   12.443   47.288    0.000      ***      ***      ***      ***   10.470    20:00    6.625    10:00      *** 2019.000    4.861    16:10      ***    2.423
2019  3 27   12.244   21.044    14:30    3.444    05:50    0.653    0.736    05:50    0.182    15:10   13.063   66.644    0.000      ***      ***      ***      ***   11.920    20:00    7.760    10:00      *** 2019.000    6.801    14:40      ***    2.887
2019  3 28    9.424   16.362    14:50    2.486    05:40    0.798    0.985    23:50    0.367    15:50   14.098   79.758    0.254      ***      ***      ***      ***   12.720    19:00    8.840    10:00      *** 2019.000    9.741    16:20      ***    2.524
2019  3 29    2.402    5.178    13:50   -0.374    23:50    0.655    1.000    21:50    0.805    14:00    2.509   75.419    5.334      ***      ***      ***      ***   11.790    00:00    8.300    23:00      *** 2019.000    9.192    23:20      ***    0.424
2019  3 30    1.393    5.573    17:20   -2.787    05:50    0.457    0.943    01:30    0.411    15:40    8.621   45.673    5.080      ***      ***      ***      ***    8.360    19:00    6.120    10:00      *** 2019.000    6.723    00:10      ***    1.320
2019  3 31    3.309   10.418    16:20   -3.801    05:50    0.466    0.896    05:50    0.309    15:20   16.761   45.314    0.000      ***      ***      ***      ***    9.400    19:00    5.007    10:00      *** 2019.000    5.664    14:00      ***    2.119
2019  4  1    5.954   14.459    14:40   -2.551    05:10    0.473    0.853    05:10    0.163    15:30   14.005   76.089    0.000      ***      ***      ***      ***    9.330    19:00    5.930    10:00      *** 2019.000   11.446    15:20      ***    2.613
2019  4  2    7.191   11.800    15:40    2.582    05:10    0.653    0.901    05:50    0.387    17:10    9.230   67.134    0.000      ***      ***      ***      ***    9.980    19:00    7.320    10:00      *** 2019.000    6.017    00:40      ***    1.855
2019  4  3   10.169   16.112    15:40    4.225    06:00    0.725    0.842    23:40    0.326    17:00   12.212   68.786    0.254      ***      ***      ***      ***   11.600    19:00    8.110    09:00      *** 2019.000    7.213    18:40      ***    2.439
2019  4  4   10.094   18.585    15:10    1.602    06:00    0.736    0.951    05:00    0.240    15:20   12.946   50.429    0.000      ***      ***      ***      ***   12.410    20:00    8.360    09:00      *** 2019.000    6.409    12:50      ***    2.457
2019  4  5   13.743   21.289    16:20    6.197    05:50    0.690    0.717    06:10    0.162    15:40   13.712   70.811    0.000      ***      ***      ***      ***   13.730    20:00    9.890    09:00      *** 2019.000    8.291    14:20      ***    3.166
2019  4  6   12.372   21.013    12:50    3.731    05:50    0.658    0.711    05:50    0.205    10:40   11.592   57.115    0.000      ***      ***      ***      ***   13.980    19:00   10.330    09:00      *** 2019.000    8.310    13:50      ***    2.704
2019  4  7   12.309   22.156    15:40    2.463    06:00    0.562    0.673    06:00    0.114    15:10   16.844   76.869    0.000      ***      ***      ***      ***   15.510    19:00   10.260    09:00      *** 2019.000   10.172    15:40      ***    3.644
2019  4  8   15.330   23.600    14:50    7.060    03:00    0.597    0.533    03:00    0.153    14:50   15.168   68.525    0.000      ***      ***      ***      ***   16.690    19:00   11.760    09:00      *** 2019.000    9.780    04:00      ***    3.522
2019  4  9   15.449   24.334    17:00    6.565    05:30    0.641    0.638    05:30    0.093    18:10   12.288   77.333    0.000      ***      ***      ***      ***   16.150    19:00   12.680    10:00      *** 2019.000   10.212    17:40      ***    3.535
2019  4 10    3.699   13.191    00:10   -5.794    23:20    0.513    0.981    12:30    0.310    00:00    1.096  126.412    6.350      ***      ***      ***      ***   15.130    00:00    8.410    23:00      *** 2019.000   11.211    17:50      ***    1.457
2019  4 11   -0.400    4.859    12:30   -5.659    02:10    0.403    0.924    00:10    0.435    18:00   15.266  114.723   14.224      ***      ***      ***      ***    8.240    19:00    6.108    13:00      *** 2019.000   10.702    14:40      ***    1.982
2019  4 12    0.782    4.758    16:30   -3.194    04:00    0.490    0.928    23:50    0.589    18:00   10.023   96.294    0.000      ***      ***      ***      ***    8.050    20:00    5.143    10:00      *** 2019.000    7.605    12:40      ***    1.485
2019  4 13    3.315    7.908    16:00   -1.278    03:20    0.557    0.962    03:40    0.477    16:20   10.932   65.072    0.508      ***      ***      ***      ***    9.230    19:00    5.992    09:00      *** 2019.000    6.390    08:40      ***    1.705
2019  4 14    8.520   18.132    15:00   -1.092    03:00    0.647    0.925    02:00    0.241    15:00   12.766   52.282    0.254      ***      ***      ***      ***   10.420    19:00    5.762    09:00      *** 2019.000   11.799    15:10      ***    2.493
2019  4 15   11.600   20.287    14:30    2.913    05:10    0.710    0.817    05:10    0.223    14:00    9.480   43.777    0.000      ***      ***      ***      ***   11.500    19:00    7.910    09:00      *** 2019.000    6.135    18:50      ***    2.283
2019  4 16   10.600   17.536    13:30    3.665    05:30    0.867    0.915    03:10    0.442    14:40   13.542   52.841    0.000      ***      ***      ***      ***   13.270    19:00    8.600    09:00      *** 2019.000    6.017    10:40      ***    2.456
2019  4 17   12.037   18.312    16:50    5.762    03:30    0.721    0.798    03:30    0.229    18:40   15.293   84.367    0.508      ***      ***      ***      ***   14.660    19:00    9.880    09:00      *** 2019.000    9.780    22:00      ***    3.271
2019  4 18   11.451   18.582    15:30    4.320    04:20    0.692    0.840    07:10    0.185    15:10   15.816  120.405    0.254      ***      ***      ***      ***   14.860    19:00   10.670    10:00      *** 2019.000   16.327    15:00      ***    3.779
2019  4 19   12.991   23.570    16:10    2.412    05:40    0.732    0.773    05:30    0.205    14:50   18.922   67.606    0.000      ***      ***      ***      ***   17.150    19:00   10.520    09:00      *** 2019.000    7.938    14:10      ***    3.792
2019  4 20   16.126   25.582    15:30    6.671    03:40    0.728    0.674    03:30    0.121    17:10    9.956   51.342    0.000      ***      ***      ***      ***   15.910    19:00   12.610    09:00      *** 2019.000    9.624    17:00      ***    2.925
2019  4 21   14.060   20.311    10:10    7.809    23:20    0.980    0.947    17:20    0.274    09:10    8.679   78.767    7.112      ***      ***      ***      ***   15.640    15:00   13.680    09:00      *** 2019.000    8.663    11:50      ***    2.593
2019  4 22    7.064    8.410    17:30    5.719    10:20    0.794    0.902    10:20    0.676    17:10    3.976   65.587    0.000      ***      ***      ***      ***   13.860    00:00   11.570    23:00      *** 2019.000    7.036    00:40      ***    0.851
2019  4 23   13.259   19.299    15:40    7.219    02:10    0.886    0.804    00:20    0.361    17:00   18.554   62.084    0.000      ***      ***      ***      ***   16.550    19:00   10.440    08:00      *** 2019.000    6.233    09:30      ***    3.368
2019  4 24   13.686   22.541    15:40    4.830    05:20    0.861    0.862    05:30    0.238    11:00   13.383   50.122    0.000      ***      ***      ***      ***   16.860    19:00   11.930    09:00      *** 2019.000   12.152    23:20      ***    2.923
2019  4 25   13.524   18.830    16:10    8.218    02:20    0.739    0.711    00:30    0.243    15:40   18.962  106.807    0.000      ***      ***      ***      ***   18.500    19:00   13.090    09:00      *** 2019.000   10.721    00:00      ***    4.046
2019  4 26   14.618   24.722    15:10    4.513    04:40    0.800    0.765    05:00    0.198    15:10   15.905   99.993    0.254      ***      ***      ***      ***   18.300    18:00   13.400    09:00      *** 2019.000   14.916    16:30      ***    4.207
2019  4 27   11.846   17.279    17:10    6.413    05:20    0.775    0.762    06:30    0.355    17:10   15.411  131.636    0.000      ***      ***      ***      ***   17.260    18:00   13.890    09:00      *** 2019.000   12.113    09:20      ***    3.564
2019  4 28   13.838   22.907    15:50    4.770    05:40    0.815    0.827    05:30    0.205    14:50   11.954   93.672    0.000      ***      ***      ***      ***   16.730    19:00   13.020    09:00      *** 2019.000   16.405    12:10      ***    3.521
2019  4 29    2.053    5.824    00:20   -1.718    12:20    0.513    0.989    23:10    0.462    07:00    2.258   86.240    2.794      ***      ***      ***      ***   15.310    00:00    9.490    23:00      *** 2019.000    8.663    00:50      ***    0.729
